City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
179,horta,4,PT,1592280363,82,38.53,-28.63,63.03200000000002,6.11
180,saint anthony,1,US,1592280027,47,45.02,-93.22,75.99199999999999,7.2
181,gimli,82,CA,1592280101,73,50.63,-96.99,64.99400000000009,3.55
182,avera,75,US,1592280116,82,33.19,-82.53,66.2,2.6
183,fortuna,90,US,1592279973,87,40.6,-124.16,57.992,4.6
184,aguimes,2,ES,1592280366,88,27.91,-15.45,71.6,4.6
185,asifabad,100,IN,1592280366,71,19.37,79.28,83.71400000000003,2.97
186,petropavlovsk-kamchatskiy,20,RU,1592280152,71,53.05,158.65,51.8,6.0
187,popondetta,92,PG,1592280366,87,-8.75,148.25,82.5260000000001,1.3
188,shimoda,75,JP,1592279983,78,34.67,138.95,77.0,4.1
189,butaritari,8,KI,1592280008,74,3.07,172.79,84.38000000000005,4.41
190,henties bay,0,NA,1592280024,28,-22.12,14.28,68.43200000000002,4.76
191,sao borja,21,BR,1592280367,96,-28.66,-56.0,63.158,3.62
192,bani walid,0,LY,1592280063,65,31.76,13.99,63.986000000000075,5.18
193,jacareacanga,23,BR,1592280056,83,-6.22,-57.75,73.45400000000006,0.23
194,khorixas,0,NA,1592280367,37,-20.37,14.97,57.61400000000003,5.36
195,saint-pierre,4,RE,1592279825,68,-21.34,55.48,68.0,3.6
196,aswan,0,EG,1592280232,27,24.09,32.91,78.63800000000005,4.55
197,saint-denis,75,FR,1592279988,87,48.92,2.33,60.998000000000026,2.1
198,baruun-urt,35,MN,1592279861,16,46.68,113.28,86.46800000000009,6.06
199,nanlong,100,CN,1592280368,66,31.35,106.06,87.26000000000008,3.06
200,narsaq,100,GL,1592280057,80,60.92,-46.05,41.0,0.5
201,medeiros neto,57,BR,1592280139,90,-17.37,-40.22,69.20600000000003,3.13
202,rabat,29,MA,1592280082,77,33.99,-6.84,64.99400000000009,2.1
203,longyearbyen,40,SJ,1592280031,69,78.22,15.64,37.4,5.7
204,yar-sale,100,RU,1592280156,65,66.83,70.83,48.236000000000075,7.25
205,sibolga,100,ID,1592280281,58,1.74,98.78,87.27800000000008,1.66
206,georgetown,20,MY,1592279989,83,5.41,100.34,84.2,3.1
207,huanren,0,CN,1592280369,35,41.26,125.37,81.71600000000001,1.83
208,machilipatnam,90,IN,1592280369,66,16.17,81.13,89.6,3.6
209,dikson,28,RU,1592279995,93,73.51,80.55,33.36800000000009,5.56
210,bambous virieux,75,MU,1592279928,68,-20.34,57.76,71.6,6.7
211,kamenka,0,RU,1592280269,75,51.32,42.77,60.54800000000003,4.54
212,ashcroft,75,CA,1592280370,45,50.72,-121.29,64.4,3.6
213,wuzhou,58,CN,1592280370,68,23.48,111.32,87.94400000000007,3.16
214,marawi,4,PH,1592279832,79,8.0,124.29,82.99400000000009,2.24
215,humaita,100,BR,1592280370,72,-7.51,-63.02,78.49400000000009,0.64
216,straumen,11,NO,1592280370,93,63.87,11.3,57.992,3.6
217,guerrero negro,0,MX,1592280097,87,27.98,-114.06,63.266000000000005,6.32
218,katsuura,75,JP,1592280201,61,35.13,140.3,82.99400000000009,6.2
219,barcelona,20,ES,1592280197,82,41.39,2.16,68.0,3.1
220,atar,3,MR,1592280371,19,20.52,-13.05,93.92000000000007,5.69
221,panaba,0,MX,1592280207,91,21.28,-88.27,75.83000000000004,2.49
222,kalawit,19,PH,1592280371,71,8.07,122.52,86.07200000000003,4.11
223,boa vista,57,BR,1592279816,88,2.82,-60.67,75.2,0.5
224,college,75,US,1592280251,77,64.86,-147.8,62.6,5.1
225,pangnirtung,100,CA,1592280198,89,66.15,-65.71,34.088000000000044,0.9
226,ossora,0,RU,1592280109,64,59.24,163.07,54.82400000000001,3.48
227,togur,0,RU,1592279842,51,58.36,82.83,57.21800000000009,2.97
228,lubbock,75,US,1592280372,30,33.6,-101.83,80.6,5.1
229,nkowakowa,20,ZA,1592280372,80,-23.89,30.29,39.2,5.7
230,derby,22,GB,1592280123,93,52.92,-1.48,57.2,1.5
231,hithadhoo,34,MV,1592280019,75,-0.6,73.08,84.48800000000006,5.51
232,vana-vigala,27,EE,1592280373,99,58.78,24.25,62.99600000000005,0.79
233,muskegon,20,US,1592280373,51,43.3,-86.13,62.6,2.6
234,naze,75,JP,1592280038,79,28.37,129.48,84.2,6.7
235,lazaro cardenas,10,MX,1592280256,80,17.96,-102.2,79.30400000000006,2.37
236,pangkalanbuun,17,ID,1592280082,50,-2.68,111.62,91.61600000000001,2.1
237,tutoia,11,BR,1592280373,87,-2.76,-42.27,75.97400000000002,3.66
238,hofn,35,IS,1592280010,82,64.25,-15.21,47.33600000000007,5.02
239,kilindoni,78,TZ,1592280374,72,-7.91,39.67,77.41400000000004,8.89
240,belmonte,90,BR,1592279808,94,-15.86,-38.88,69.80000000000001,3.6
241,thompson,40,CA,1592280004,82,55.74,-97.86,64.4,1.0
242,leningradskiy,0,RU,1592280115,66,69.38,178.42,51.530000000000044,3.66
243,namtsy,1,RU,1592279803,46,62.72,129.67,71.6,4.0
244,port-gentil,40,GA,1592280254,89,-0.72,8.78,74.15600000000003,5.54
245,rudnaya pristan,73,RU,1592280375,75,44.36,135.81,56.33600000000007,3.12
246,mandiana,80,GN,1592280375,77,10.63,-8.68,76.78399999999999,1.59
247,reitz,0,ZA,1592280375,91,-27.8,28.43,31.802000000000078,4.51
248,coralville,1,US,1592280375,49,41.68,-91.58,69.80000000000001,2.1
249,san miguel,100,SV,1592280375,94,13.48,-88.18,75.23600000000008,0.34
250,hamilton,1,US,1592280023,82,39.18,-84.53,66.99199999999999,2.19
251,qasigiannguit,15,GL,1592280365,74,68.82,-51.19,35.6,2.6
252,jieshi,1,CN,1592279810,73,22.81,115.83,85.17200000000004,5.07
253,bandarbeyla,59,SO,1592279872,54,9.49,50.81,84.97400000000002,13.52
254,longonjo,0,AO,1592280376,62,-12.91,15.25,50.342,1.89
255,ust-kuyga,94,RU,1592280281,32,70.02,135.6,77.32400000000001,10.05
256,parit buntar,20,MY,1592280376,83,5.13,100.49,84.2,2.6
257,conakry,96,GN,1592280124,83,9.54,-13.68,80.042,3.27
